statement_id,statement,domain,has_error,error_step,error_type,correct_answer,cot
189,What is the remainder when 999 is divided by 9?,Number Theory,0,-1,none,0,"Step 1: Sum of digits: 9+9+9 = 27, divisible by 9.
Step 2: So 999 is divisible by 9.
Step 3: Remainder = 0.
Step 4: Answer: 0.

Final Answer: 0"
68,Find the sum of all primes less than 20.,Number Theory,1,5,wrong_answer,77,"Step 1: Primes less than 20: 2, 3, 5, 7, 11, 13, 17, 19.
Step 2: Sum = 2 + 3 + 5 + 7 + 11 + 13 + 17 + 19.
Step 3: = 77.
Step 4: Answer: 77.

[ERROR INJECTED AT STEP 5]"
156,A circle has area 25π. Find its radius.,Geometry,0,-1,none,5,"Step 1: Area = πr² = 25π.
Step 2: r² = 25.
Step 3: r = 5.
Step 4: Answer: 5.

Final Answer: 5"
206,How many ways can 2 colors be chosen from 4?,Combinatorics,0,-1,none,6,"Step 1: C(4,2) = 4!/(2!×2!).
Step 2: = 6.
Step 3: Answer: 6.

Final Answer: 6"
223,Two coins are flipped. What is P(at least 1 head)?,Probability,0,-1,none,3/4,"Step 1: P(at least 1 head) = 1 - P(no heads).
Step 2: P(no heads) = 1/4.
Step 3: P = 1 - 1/4 = 3/4.
Step 4: Answer: 3/4.

Final Answer: 3/4"
91,How many ways can you arrange the letters in MISSISSIPPI?,Combinatorics,0,-1,none,34650,"Step 1: MISSISSIPPI has 11 letters: M(1), I(4), S(4), P(2).
Step 2: Arrangements = 11!/(1!×4!×4!×2!).
Step 3: = 39916800/(24×24×2) = 34650.
Step 4: Answer: 34650.

Final Answer: 34650"
241,A die is rolled. What is P(rolling a multiple of 3)?,Probability,0,-1,none,1/3,"Step 1: Multiples of 3: 3, 6 = 2 outcomes.
Step 2: P = 2/6 = 1/3.
Step 3: Answer: 1/3.

Final Answer: 1/3"
52,Find the smallest positive integer n such that n² ends in 444.,Number Theory,0,-1,none,38,"Step 1: We need n² ≡ 444 (mod 1000).
Step 2: First, n² ≡ 4 (mod 10) means n ≡ 2 or 8 (mod 10).
Step 3: Next, n² ≡ 44 (mod 100). Checking: 12²=144, 38²=1444.
Step 4: Check mod 1000: 38² = 1444 ≡ 444 (mod 1000).
Step 5: Smallest positive n is 38.

Final Answer: 38"
12,Find the minimum value of x² + 4x + 7.,Algebra,1,3,calculation_error,3,"Step 1: Complete the square: x² + 4x + 7 = (x+2)² + 3.
Step 2: The minimum of (x+2)² is 0 (when x = -2).
Step 3: So minimum value is 0 + 3 ≠ 3. [ARITHMETIC ERROR]
Step 4: Minimum occurs at x = -2.
Step 5: Answer: 3.

[ERROR INJECTED AT STEP 3]"
171,"Find φ(20), where φ is Euler's totient function.",Number Theory,0,-1,none,8,"Step 1: 20 = 2² × 5.
Step 2: φ(20) = 20 × (1-1/2) × (1-1/5).
Step 3: = 20 × 1/2 × 4/5.
Step 4: = 8.
Step 5: Answer: 8.

Final Answer: 8"
182,How many multiples of 5 are between 1 and 50?,Number Theory,0,-1,none,10,"Step 1: 50/5 = 10.
Step 2: There are 10 multiples.
Step 3: Answer: 10.

Final Answer: 10"
202,How many ways can a coin be flipped 5 times?,Combinatorics,0,-1,none,32,"Step 1: Each flip has 2 outcomes.
Step 2: Total = 2^5.
Step 3: = 32.
Step 4: Answer: 32.

Final Answer: 32"
54,What is the least common multiple of 12 and 18?,Number Theory,0,-1,none,36,"Step 1: Prime factorization: 12 = 2² × 3.
Step 2: Prime factorization: 18 = 2 × 3².
Step 3: LCM = 2² × 3² = 4 × 9.
Step 4: LCM = 36.
Step 5: Answer: 36.

Final Answer: 36"
48,A circle has diameter 20. Find the length of an arc subtending 90°.,Geometry,0,-1,none,5π,"Step 1: Circumference = πd = 20π.
Step 2: 90° is 1/4 of 360°.
Step 3: Arc length = (1/4) × 20π = 5π.
Step 4: Answer: 5π.

Final Answer: 5π"
191,How many ways can the letters in DOG be arranged?,Combinatorics,0,-1,none,6,"Step 1: 3 distinct letters.
Step 2: 3! = 6.
Step 3: Answer: 6.

Final Answer: 6"
178,Find the last digit of 2^50.,Number Theory,1,4,logic_error,4,"Step 1: Pattern: 2, 4, 8, 6, 2, 4, 8, 6... (cycle of 4).
Step 2: 50 = 4×12 + 2.
Step 3: Last digit = 2nd in cycle = 4.
Step 4: Answer: 4. [LOGIC ERROR]

[ERROR INJECTED AT STEP 4]"
56,Is 97 prime?,Number Theory,0,-1,none,yes,"Step 1: Check divisibility by primes up to √97 ≈ 9.8.
Step 2: Check 2: 97 is odd, not divisible.
Step 3: Check 3: 9+7=16, not divisible by 3.
Step 4: Check 5, 7: 97/5=19.4, 97/7≈13.9.
Step 5: 97 is prime.

Final Answer: yes"
111,A fair coin is flipped 4 times. What is the probability of exactly 2 heads?,Probability,0,-1,none,3/8,"Step 1: Total outcomes = 2^4 = 16.
Step 2: Favorable: C(4,2) = 6 ways.
Step 3: Probability = 6/16 = 3/8.
Step 4: Answer: 3/8.

Final Answer: 3/8"
109,A die is rolled twice. What is the probability both rolls are even?,Probability,0,-1,none,1/4,"Step 1: P(even) = 3/6 = 1/2 for each roll.
Step 2: P(both even) = (1/2) × (1/2) = 1/4.
Step 3: Answer: 1/4.

Final Answer: 1/4"
149,A square has diagonal 10. Find its area.,Geometry,0,-1,none,50,"Step 1: Diagonal d = s√2, so s = d/√2 = 10/√2.
Step 2: Area = s² = (10/√2)² = 100/2.
Step 3: = 50.
Step 4: Answer: 50.

Final Answer: 50"
94,How many ways can 4 different books be distributed to 4 students?,Combinatorics,0,-1,none,24,"Step 1: This is a permutation of 4 items.
Step 2: 4! = 24.
Step 3: Answer: 24.

Final Answer: 24"
159,A rhombus has diagonals 10 and 24. Find its area.,Geometry,0,-1,none,120,"Step 1: Area = (1/2) × d₁ × d₂.
Step 2: = (1/2) × 10 × 24.
Step 3: = 120.
Step 4: Answer: 120.

Final Answer: 120"
158,"A trapezoid has bases 8 and 12, and height 5. Find its area.",Geometry,0,-1,none,50,"Step 1: Area = (1/2)(b₁ + b₂)h.
Step 2: = (1/2)(8 + 12)(5).
Step 3: = (1/2)(20)(5) = 50.
Step 4: Answer: 50.

Final Answer: 50"
122,"If x = 2, what is the value of 3x² - 5x + 1?",Algebra,0,-1,none,3,"Step 1: Substitute x = 2: 3(4) - 5(2) + 1.
Step 2: Calculate: 12 - 10 + 1.
Step 3: = 3.
Step 4: Answer: 3.

Final Answer: 3"
167,What is the units digit of 9^100?,Number Theory,0,-1,none,1,"Step 1: Pattern: 9, 1, 9, 1... (cycle of 2).
Step 2: 100 is even, so units digit is 1.
Step 3: Answer: 1.

Final Answer: 1"
89,How many ways can 3 coins be flipped?,Combinatorics,0,-1,none,8,"Step 1: Each coin has 2 outcomes (H or T).
Step 2: Total outcomes = 2³ = 8.
Step 3: Answer: 8.

Final Answer: 8"
55,Find the sum of all positive divisors of 28.,Number Theory,0,-1,none,56,"Step 1: Divisors of 28: 1, 2, 4, 7, 14, 28.
Step 2: Sum = 1 + 2 + 4 + 7 + 14 + 28.
Step 3: = 56.
Step 4: Answer: 56.

Final Answer: 56"
29,A circle has circumference 16π. What is its area?,Geometry,1,3,calculation_error,64π,"Step 1: Circumference = 2πr = 16π.
Step 2: Solve for r: r = 16π/(2π) = 8.
Step 3: Area ≠ πr² ≠ π(8)². [ARITHMETIC ERROR]
Step 4: Area = 64π.

[ERROR INJECTED AT STEP 3]"
15,The quadratic x² - 5x + 6 = 0 has roots r and s. Find r² + s².,Algebra,0,-1,none,13,"Step 1: By Vieta's formulas: r + s = 5 and rs = 6.
Step 2: Use identity: r² + s² = (r+s)² - 2rs.
Step 3: Substitute: 5² - 2(6) = 25 - 12.
Step 4: Calculate: 25 - 12 = 13.
Step 5: Answer = 13.

Final Answer: 13"
123,Find the vertex of the parabola y = x² - 6x + 5.,Algebra,0,-1,none,"(3, -4)","Step 1: Complete the square: y = (x-3)² - 9 + 5.
Step 2: y = (x-3)² - 4.
Step 3: Vertex is at (3, -4).
Step 4: Answer: (3, -4).

Final Answer: (3, -4)"
21,Find the sum: 1 + 3 + 5 + ... + 99.,Algebra,0,-1,none,2500,"Step 1: This is an arithmetic sequence with a₁ = 1, d = 2, aₙ = 99.
Step 2: Number of terms: n = (99-1)/2 + 1 = 50.
Step 3: Sum = n(a₁ + aₙ)/2 = 50(1+99)/2.
Step 4: = 50 × 50 = 2500.
Step 5: Answer: 2500.

Final Answer: 2500"
81,How many ways can you choose 3 items from 8?,Combinatorics,0,-1,none,56,"Step 1: Use combination formula: C(8,3).
Step 2: C(8,3) = 8!/(3!×5!) = (8×7×6)/(3×2×1).
Step 3: = 336/6 = 56.
Step 4: Answer: 56.

Final Answer: 56"
200,How many ways can 8 items be divided into 2 groups of 4?,Combinatorics,0,-1,none,35,"Step 1: C(8,4) = 70.
Step 2: Groups are indistinguishable, divide by 2.
Step 3: 70/2 = 35.
Step 4: Answer: 35.

Final Answer: 35"
47,A triangle has base 10 and height 6. Find its area.,Geometry,0,-1,none,30,"Step 1: Area = (1/2) × base × height.
Step 2: Area = (1/2) × 10 × 6.
Step 3: = 30.
Step 4: Answer: 30.

Final Answer: 30"
129,"If 2^x = 32, what is x?",Algebra,1,3,calculation_error,5,"Step 1: 32 = 2^5.
Step 2: So 2^x = 2^5.
Step 3: Therefore x ≠ 5. [ARITHMETIC ERROR]
Step 4: Answer: 5.

[ERROR INJECTED AT STEP 3]"
117,A number from 1 to 20 is chosen. What is P(it is divisible by 3)?,Probability,0,-1,none,3/10,"Step 1: Multiples of 3 from 1 to 20: 3, 6, 9, 12, 15, 18 = 6.
Step 2: P(divisible by 3) = 6/20 = 3/10.
Step 3: Answer: 3/10.

Final Answer: 3/10"
92,How many ways can 5 students be seated in 5 chairs?,Combinatorics,0,-1,none,120,"Step 1: Number of permutations of 5 items = 5!.
Step 2: 5! = 5×4×3×2×1 = 120.
Step 3: Answer: 120.

Final Answer: 120"
105,Two cards are drawn from a deck. What is the probability both are aces?,Probability,0,-1,none,1/221,"Step 1: P(first ace) = 4/52 = 1/13.
Step 2: P(second ace | first ace) = 3/51 = 1/17.
Step 3: P(both aces) = (1/13) × (1/17) = 1/221.
Step 4: Answer: 1/221.

Final Answer: 1/221"
231,A die is rolled. What is P(rolling > 4)?,Probability,0,-1,none,1/3,"Step 1: > 4 means 5 or 6 = 2 outcomes.
Step 2: P = 2/6 = 1/3.
Step 3: Answer: 1/3.

Final Answer: 1/3"
96,How many ways can a die be rolled 3 times?,Combinatorics,0,-1,none,216,"Step 1: Each roll has 6 outcomes.
Step 2: Total = 6³ = 216.
Step 3: Answer: 216.

Final Answer: 216"
195,How many ways can 4 books be chosen from 10?,Combinatorics,0,-1,none,210,"Step 1: C(10,4) = 10!/(4!×6!).
Step 2: = (10×9×8×7)/(4×3×2×1).
Step 3: = 210.
Step 4: Answer: 210.

Final Answer: 210"
160,A regular hexagon has perimeter 30. Find its side length.,Geometry,0,-1,none,5,"Step 1: Perimeter = 6s = 30.
Step 2: s = 5.
Step 3: Answer: 5.

Final Answer: 5"
157,A pyramid has square base with side 4 and height 6. Find its volume.,Geometry,0,-1,none,32,"Step 1: Volume = (1/3) × base_area × height.
Step 2: = (1/3) × 16 × 6.
Step 3: = 32.
Step 4: Answer: 32.

Final Answer: 32"
37,A cone has radius 4 and height 6. Find its volume.,Geometry,0,-1,none,32π,"Step 1: Volume of cone = (1/3)πr²h.
Step 2: Substitute r = 4, h = 6: (1/3)π(16)(6).
Step 3: = (1/3)π × 96 = 32π.
Step 4: Answer: 32π.

Final Answer: 32π"
33,Two angles of a triangle measure 50° and 60°. What is the third angle?,Geometry,1,1,wrong_setup,70,"Step 1: Sum of angles in a triangle = 180°.
Step 2: Third angle = 180° - 50° - 60°.
Step 3: Third angle = 70°.
Step 4: Answer: 70.

[ERROR INJECTED AT STEP 1]"
97,How many ways can 8 people be divided into 2 teams of 4?,Combinatorics,0,-1,none,35,"Step 1: Choose 4 people for first team: C(8,4).
Step 2: C(8,4) = 70.
Step 3: But teams are indistinguishable, so divide by 2.
Step 4: 70/2 = 35.
Step 5: Answer: 35.

Final Answer: 35"
229,Three coins are flipped. What is P(all heads)?,Probability,0,-1,none,1/8,"Step 1: P = (1/2)³.
Step 2: = 1/8.
Step 3: Answer: 1/8.

Final Answer: 1/8"
213,How many ways can 4 students be seated in 4 chairs?,Combinatorics,0,-1,none,24,"Step 1: 4! = 24.
Step 2: Answer: 24.

Final Answer: 24"
93,How many ways can you choose a president and vice-president from 10 people?,Combinatorics,0,-1,none,90,"Step 1: Choose president: 10 choices.
Step 2: Choose vice-president: 9 remaining choices.
Step 3: Total = 10 × 9 = 90.
Step 4: Answer: 90.

Final Answer: 90"
115,A bag has 5 red and 3 blue marbles. Two are drawn without replacement. What is P(both red)?,Probability,0,-1,none,5/14,"Step 1: P(first red) = 5/8.
Step 2: P(second red | first red) = 4/7.
Step 3: P(both red) = (5/8) × (4/7) = 20/56.
Step 4: Simplify: 20/56 = 5/14.
Step 5: Answer: 5/14.

Final Answer: 5/14"
211,How many ways can a president be chosen from 8 people?,Combinatorics,0,-1,none,8,"Step 1: 8 choices.
Step 2: Answer: 8.

Final Answer: 8"
224,A number from 1 to 10 is chosen. What is P(it is even)?,Probability,0,-1,none,1/2,"Step 1: Even numbers: 2, 4, 6, 8, 10 = 5.
Step 2: P = 5/10 = 1/2.
Step 3: Answer: 1/2.

Final Answer: 1/2"
230,Three coins are flipped. What is P(all heads)?,Probability,1,2,wrong_formula,1/8,"Step 1: P = (1/2)³.
Step 2: = 1/8. [ERROR]
Step 3: Answer: 1/8.

[ERROR INJECTED AT STEP 2]"
66,How many multiples of 7 are between 1 and 100?,Number Theory,0,-1,none,14,"Step 1: Largest multiple of 7 ≤ 100 is 98 = 7×14.
Step 2: So there are 14 multiples of 7.
Step 3: They are: 7, 14, 21, ..., 98.
Step 4: Answer: 14.

Final Answer: 14"
90,How many ways can 3 coins be flipped?,Combinatorics,1,1,wrong_setup,8,"Step 1: Each coin has 2 outcomes (H or T).
Step 2: Total outcomes = 2³ = 8.
Step 3: Answer: 8.

[ERROR INJECTED AT STEP 1]"
70,What is the remainder when 2020 is divided by 7?,Number Theory,1,3,calculation_error,4,"Step 1: 2020 ÷ 7 = 288 remainder 4.
Step 2: Check: 7×288 = 2016.
Step 3: 2020 - 2016 ≠ 4. [ARITHMETIC ERROR]
Step 4: Remainder is 4.

[ERROR INJECTED AT STEP 3]"
216,A coin is flipped. What is P(heads)?,Probability,1,1,wrong_setup,1/2,"Step 1: 1 favorable out of 2 outcomes.
Step 2: P = 1/2.
Step 3: Answer: 1/2.

[ERROR INJECTED AT STEP 1]"
34,A sphere has radius 3. Find its volume.,Geometry,0,-1,none,36π,"Step 1: Volume of sphere = (4/3)πr³.
Step 2: Substitute r = 3: (4/3)π(27).
Step 3: = 4π × 9 = 36π.
Step 4: Answer: 36π.

Final Answer: 36π"
61,What is the arithmetic mean of the reciprocals of the first three primes?,Number Theory,0,-1,none,31/90,"Step 1: First three primes: 2, 3, 5.
Step 2: Reciprocals: 1/2, 1/3, 1/5.
Step 3: Sum = 15/30 + 10/30 + 6/30 = 31/30.
Step 4: Mean = (31/30)/3 = 31/90.

Final Answer: 31/90"
113,A card is drawn from a deck. What is P(it is a face card)?,Probability,0,-1,none,3/13,"Step 1: Face cards: J, Q, K in each suit = 12 total.
Step 2: P(face card) = 12/52 = 3/13.
Step 3: Answer: 3/13.

Final Answer: 3/13"
142,Solve for x: log₃(x) + log₃(x-2) = 1.,Algebra,0,-1,none,3,"Step 1: Combine: log₃(x(x-2)) = 1.
Step 2: So x(x-2) = 3¹ = 3.
Step 3: x² - 2x - 3 = 0.
Step 4: (x-3)(x+1) = 0. x = 3 (x = -1 invalid).
Step 5: Answer: 3.

Final Answer: 3"
95,How many ways can you arrange 3 red and 3 blue balls in a row?,Combinatorics,0,-1,none,20,"Step 1: Total 6 balls with 3 red and 3 blue.
Step 2: Arrangements = 6!/(3!×3!).
Step 3: = 720/(6×6) = 20.
Step 4: Answer: 20.

Final Answer: 20"
144,A triangle has angles 45° and 45°. What is the third angle?,Geometry,0,-1,none,90,"Step 1: Sum of angles = 180°.
Step 2: Third angle = 180° - 45° - 45°.
Step 3: = 90°.
Step 4: Answer: 90.

Final Answer: 90"
170,What is the remainder when 100 is divided by 7?,Number Theory,1,3,calculation_error,2,"Step 1: 100 = 7×14 + 2.
Step 2: Remainder = 2.
Step 3: Answer: 2. [ARITHMETIC ERROR]

[ERROR INJECTED AT STEP 3]"
208,How many ways can 7 items be arranged if 2 are identical?,Combinatorics,0,-1,none,2520,"Step 1: 7!/2! = 5040/2.
Step 2: = 2520.
Step 3: Answer: 2520.

Final Answer: 2520"
205,How many ways can 5 people sit in 5 chairs?,Combinatorics,0,-1,none,120,"Step 1: 5! = 5×4×3×2×1.
Step 2: = 120.
Step 3: Answer: 120.

Final Answer: 120"
141,"What is the 10th term of the sequence 2, 5, 8, 11, ...?",Algebra,0,-1,none,29,"Step 1: This is arithmetic with a₁=2, d=3.
Step 2: aₙ = a₁ + (n-1)d.
Step 3: a₁₀ = 2 + 9×3 = 29.
Step 4: Answer: 29.

Final Answer: 29"
138,Find the range of f(x) = x² + 2.,Algebra,1,2,wrong_formula,y ≥ 2,"Step 1: x² ≥ 0 for all real x.
Step 2: So x² + 2 ≥ 2. [ERROR]
Step 3: Range: y ≥ 2.
Step 4: Answer: y ≥ 2.

[ERROR INJECTED AT STEP 2]"
38,A cube has edge length 5. Find its surface area.,Geometry,0,-1,none,150,"Step 1: Surface area of cube = 6s² where s is edge length.
Step 2: s = 5, so surface area = 6 × 25.
Step 3: = 150.
Step 4: Answer: 150.

Final Answer: 150"
130,Find the domain of f(x) = √(x-4).,Algebra,0,-1,none,x ≥ 4,"Step 1: For √(x-4) to be real, x-4 ≥ 0.
Step 2: So x ≥ 4.
Step 3: Domain: x ≥ 4.
Step 4: Answer: x ≥ 4.

Final Answer: x ≥ 4"
133,Solve: |2x - 5| = 7.,Algebra,0,-1,none,"6, -1","Step 1: Case 1: 2x - 5 = 7 gives 2x = 12, x = 6.
Step 2: Case 2: 2x - 5 = -7 gives 2x = -2, x = -1.
Step 3: Solutions: x = 6 or x = -1.
Step 4: Answer: 6, -1.

Final Answer: 6, -1"
207,How many ways can 2 colors be chosen from 4?,Combinatorics,1,3,calculation_error,6,"Step 1: C(4,2) = 4!/(2!×2!).
Step 2: = 6.
Step 3: Answer: 6. [ARITHMETIC ERROR]

[ERROR INJECTED AT STEP 3]"
32,Two angles of a triangle measure 50° and 60°. What is the third angle?,Geometry,0,-1,none,70,"Step 1: Sum of angles in a triangle = 180°.
Step 2: Third angle = 180° - 50° - 60°.
Step 3: Third angle = 70°.
Step 4: Answer: 70.

Final Answer: 70"
